               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093261,            0.085927,            0.053608,             0.60892,             0.19616,             0.19477,             0.07726,            0.075247,            0.085245,             0.03755,           0.0033266,           0.0033266,             0.07006
                   1,            0.078587,             0.08264,            0.033405,             0.63633,             0.38382,             0.39914,             0.17388,            0.068483,            0.081142,             0.02568,            0.006594,            0.006594,            0.039994
                   2,            0.074611,            0.081406,             0.02542,             0.67207,             0.47547,              0.5006,             0.22141,            0.067194,            0.082471,            0.021055,           0.0097954,           0.0097954,           0.0098625
                   3,            0.070856,            0.080037,            0.021478,             0.68508,             0.53938,             0.56975,             0.26826,             0.06434,            0.078134,            0.018357,            0.009703,            0.009703,            0.009703
                   4,            0.068996,            0.078603,            0.019603,             0.72251,             0.55889,             0.60584,             0.28754,            0.063155,            0.076578,            0.017091,            0.009703,            0.009703,            0.009703
                   5,            0.067555,            0.077637,            0.018464,             0.73636,              0.5696,             0.61634,             0.29574,            0.062392,            0.075956,            0.016376,            0.009604,            0.009604,            0.009604
                   6,            0.066484,            0.076449,            0.017782,             0.74302,             0.60558,             0.65106,             0.32294,            0.061396,            0.074626,            0.015799,            0.009505,            0.009505,            0.009505
                   7,            0.065581,            0.075113,            0.017206,             0.74042,             0.62867,             0.67224,             0.33472,             0.06072,            0.074002,              0.0153,            0.009406,            0.009406,            0.009406
                   8,            0.065035,             0.07465,            0.016709,             0.76483,             0.63312,             0.68086,             0.34225,            0.060329,            0.073712,            0.015097,            0.009307,            0.009307,            0.009307
                   9,             0.06473,            0.075091,             0.01657,             0.76312,             0.63501,             0.68437,             0.34458,            0.060135,            0.072752,            0.014823,            0.009208,            0.009208,            0.009208
                  10,            0.064109,            0.073917,            0.016156,             0.77496,              0.6382,             0.69026,             0.35378,            0.059576,            0.072669,            0.014621,            0.009109,            0.009109,            0.009109
                  11,            0.063804,            0.073567,            0.015907,             0.76611,             0.64969,             0.69943,             0.35568,            0.059428,            0.072396,            0.014419,             0.00901,             0.00901,             0.00901
                  12,            0.063509,            0.072922,            0.015733,             0.76771,             0.66146,             0.70609,             0.36434,            0.058993,             0.07173,            0.014254,            0.008911,            0.008911,            0.008911
                  13,              0.0632,            0.072708,            0.015591,             0.77073,             0.66368,             0.71179,             0.36432,            0.058897,            0.071734,            0.014148,            0.008812,            0.008812,            0.008812
                  13,            0.063199,            0.072721,             0.01559,             0.77542,             0.66487,             0.71398,             0.36721,            0.058801,            0.071502,            0.014131,            0.008812,            0.008812,            0.008812
                  14,            0.062814,            0.071801,             0.01548,             0.79517,             0.66561,              0.7226,             0.37456,             0.05856,             0.07097,            0.013957,            0.008713,            0.008713,            0.008713
                  14,            0.062826,            0.071838,            0.015483,             0.78736,             0.66571,              0.7197,              0.3726,            0.058809,            0.071083,            0.014012,            0.008713,            0.008713,            0.008713
                  15,            0.062687,            0.072265,            0.015279,             0.79079,             0.68636,             0.73529,             0.38241,            0.058252,            0.071042,             0.01375,            0.008614,            0.008614,            0.008614
                  15,            0.062667,            0.072258,            0.015268,             0.78665,             0.69501,             0.73237,             0.38077,            0.058261,            0.070896,            0.013804,            0.008614,            0.008614,            0.008614
                  16,             0.06215,            0.071331,            0.015111,             0.79919,             0.68305,             0.73915,             0.38735,            0.058056,            0.070482,            0.013808,            0.008515,            0.008515,            0.008515
                  16,             0.06218,            0.071385,            0.015132,             0.80246,             0.68325,             0.73407,             0.38495,            0.058078,            0.070478,            0.013858,            0.008515,            0.008515,            0.008515
                  17,            0.062382,             0.07144,            0.015029,              0.7928,             0.69638,             0.74278,             0.38999,            0.057948,             0.07013,            0.013711,            0.008416,            0.008416,            0.008416
                  17,            0.062364,            0.071448,            0.015039,             0.80017,             0.68774,             0.74041,             0.39047,            0.057905,            0.070029,            0.013727,            0.008416,            0.008416,            0.008416
                  18,            0.061932,            0.071277,            0.014828,             0.79458,             0.69454,              0.7424,             0.39504,            0.057783,            0.070229,            0.013593,            0.008317,            0.008317,            0.008317
                  18,            0.061949,            0.071292,            0.014824,              0.7916,             0.70193,             0.74541,             0.39481,            0.057694,            0.069913,            0.013625,            0.008317,            0.008317,            0.008317
                  19,            0.061769,            0.070877,            0.014817,             0.80136,             0.70024,             0.74729,             0.40005,            0.057541,            0.069705,            0.013467,            0.008218,            0.008218,            0.008218
